method,dataset_id,output_tree_present,parsed_ok,output_taxa_count,expected_taxa_count,all_expected_taxa_covered,exact_taxon_set_match,duplicate_leaf_labels_found,empty_leaf_labels_found,analysis_ready,success,error_message
Spectral Clustering,31,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,32,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,33,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,34,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,35,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,36,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,37,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,38,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,39,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,40,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,41,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,42,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,43,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,44,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,45,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,46,True,True,55,55,True,True,False,False,True,True,
